School,Team,Block,Zoom_Video_Position,ACTUAL_ID_at_Top_or_Left,ACTUAL_ID_at_Middle,ACTUAL_ID_at_Bottom_or_Right,VIDEO_ID_at_Top_or_Left,VIDEO_ID_at_Middle,VIDEO_ID_at_Bottom_or_Right,TEXT_ID_at_Top_or_Left,TEXT_ID_at_Middle,TEXT_ID_at_Bottom_or_Right
CU,T54,WU,vertical,PA,PC,PB,PA,PC,PB,PA,PC,PB
CU,T56,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T56,ExpBlock2,horizontal,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T56,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T57,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T57,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T57,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T60,ExpBlock1,vertical,PB,PD,PC,PB,PA,PC,PB,PA,PC
CU,T60,ExpBlock2,vertical,PC,PD,PB,PC,PA,PB,PC,PA,PB
CU,T60,WU,vertical,PD,PB,PC,PA,PB,PC,PA,PB,PC
CU,T62,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T62,ExpBlock2,horizontal,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T62,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T63,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T63,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T63,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T66,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T66,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T66,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T68,ExpBlock1,vertical,PB,PC,PA,PB,PC,PA,PB,PC,PA
CU,T68,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T68,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T69,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T69,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T69,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T70,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T70,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T70,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
CU,T71,ExpBlock1,vertical,PB,PA,PC,PB,PA,PC,PB,PA,PC
CU,T71,ExpBlock2,vertical,PC,PA,PB,PC,PA,PB,PC,PA,PB
CU,T71,WU,vertical,PA,PB,PC,PA,PB,PC,PA,PB,PC
